4, benders, benders_mipstart, benders_patch, benders_patch_mipstart
inst_nnodes500_seed4149311_tl120_id1, 37.000000, 35.000000, 37.000000, 34.000000
inst_nnodes500_seed4149311_tl120_id2, 38.000000, 39.000000, 39.000000, 39.000000
inst_nnodes500_seed4149311_tl120_id3, 59.000000, 58.000000, 60.000000, 57.000000
inst_nnodes500_seed4149311_tl120_id4, 65.000000, 63.000000, 67.000000, 62.000000
inst_nnodes500_seed4149311_tl120_id5, 85.000000, 72.000000, 85.000000, 72.000000
inst_nnodes500_seed4149311_tl120_id6, 39.000000, 37.000000, 39.000000, 37.000000
inst_nnodes500_seed4149311_tl120_id7, 85.000000, 82.000000, 84.000000, 82.000000
inst_nnodes500_seed4149311_tl120_id8, 54.000000, 52.000000, 54.000000, 53.000000
inst_nnodes500_seed4149311_tl120_id9, 119.000000, 93.000000, 120.000000, 92.000000
inst_nnodes500_seed4149311_tl120_id10, 240.000000, 240.000000, 240.000000, 240.000000
inst_nnodes500_seed4149311_tl120_id11, 26.000000, 26.000000, 26.000000, 26.000000
inst_nnodes500_seed4149311_tl120_id12, 45.000000, 41.000000, 45.000000, 40.000000
inst_nnodes500_seed4149311_tl120_id13, 64.000000, 63.000000, 65.000000, 64.000000
inst_nnodes500_seed4149311_tl120_id14, 115.000000, 107.000000, 113.000000, 108.000000
inst_nnodes500_seed4149311_tl120_id15, 79.000000, 62.000000, 80.000000, 62.000000
inst_nnodes500_seed4149311_tl120_id16, 57.000000, 54.000000, 58.000000, 53.000000
inst_nnodes500_seed4149311_tl120_id17, 37.000000, 33.000000, 37.000000, 33.000000
inst_nnodes500_seed4149311_tl120_id18, 240.000000, 240.000000, 240.000000, 240.000000
inst_nnodes500_seed4149311_tl120_id19, 84.000000, 78.000000, 88.000000, 76.000000
inst_nnodes500_seed4149311_tl120_id20, 120.000000, 120.000000, 120.000000, 120.000000
